ace.bible.txt	are.bible.txt	ban.bible.txt	bci.bible.txt	blz.bible.txt	bru.bible.txt	btx.bible.txt	bvr.bible.txt	cab.bible.txt	cac.sansebastian.txt	caq.bible.txt	cat.evangelica.txt	ces.living.txt	cha.2003.txt	chf.bible.txt	chr.bible.txt	crn.bible.txt	cym.colloquial2013.txt	dan.hverdagsdansk.txt	deu.newworld.txt	deu.schlachter.txt	dgi.bible.txt	dgr.bible.txt	dts.bible.txt	dur.bible.txt	eng.common.txt	eng.goodnews.txt	esi.bible.txt	esu.bible.txt	etu.bible.txt	ffm.bible.txt	fin.1992.txt	gag.latin.txt	gle.bible.txt	gug.bible.txt	gvn.bible.txt	gwi.bible.txt	hop.bible.txt	hrv.2000.txt	hun.2003.txt	iba.bible.txt	ibo.bible.txt	inb.bible.txt	ind.firman.txt	isl.bible.txt	jpn.colloquial.txt	jra.bible.txt	kaa.latin.txt	khk.bible.txt	kki.bible.txt	kor.1985.txt	kqs.bible.txt	lem.bible.txt	mad.bible.txt	mak.bible.txt	mcb.bible.txt	mco.bible.txt	mhy.bible.txt	mto.bible.txt	myx.bible.txt	naq.bible.txt	nhg.bible.txt	nhw.bible.txt	nld.2007.txt	nya.bible.txt	pab.bible.txt	pah.bible.txt	pib.bible.txt	poi.bible.txt	prk.bible.txt	qub.bible.txt	quy.bible.txt	ron.2006.txt	run.bible.txt	sme.bible.txt	snf.bible.txt	spa.newworld.txt	srq.bible.txt	tac.bible.txt	tgl.1996.txt	thk.bible.txt	tuk.mukaddes.txt	tur.newworld.txt	uig.latin.txt	vie.bandich.txt	wol.bible.txt	yua.bible.txt	zho.contemp.txt	zho.new.txt	zos.bible.txt
215	soe	ngunha -nta -ma	nyen -ke	wan	ime	noau	ise	ana- nga	cá -tei -gi	mach	a- chīö	qui	kdo (kdo)	håyi	caxca une	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	amìı	aa -i	nóo	who	who	ki -su -imma	ki -a	é- nê	ho- mo	ke -ne kuka	kіm -dіr	cé	máva	wanju -ngku	juu	haki -ø	tko (tko)	ki	s- apa	ònye 	maikan	si- apa yang	hver	だれ	hlơi	kim	hen	nani	누구 -요	ɔ́ɔ̀	háányɛ́	s- apa	inai	tya -ni -tyo -ra	pɨn	hie	pa̱n -ts	naanu	tari -ba	öque -nu	ajqueya	wie	ndani	xala	ma'g̃a	giru	i̱	pui mawx	pi -taj	NA	cine	nde	gii	ɓa	quién	aba	chie -ri	s- ino	n'- ûû	kim	kim	kim	ai	k- u	máax	誰	誰	i -'is
216	peue -kriban	NA	sapu- napi	o yô se	koi upa	nṓq	NA	nyi- burr- yinmiya	ída	NA	sitih	com	jak	tai- månu	cache'	gado	a'i -ni	sut	hvor -dan	wie	wie	ŋmɩŋ -mɩn	dànì	yani	née	how	how	qanuġ -lusi	qaillun -mi	nan	hono	kuinka	ne -soy	conas	mba'e -icha piko	NA	nats'ąą	hin	kako	mi	baka ni	aṅa	ima -sa -tak	NA	hvernig	どう -して	hyư̆m	qalay	yaa -j	nhani	어떻 -게	vɛɛ	anyána	baramma	antekamma -ko	tya -ra pi- n- kant -aig -ak -empa -ra	nej	kewangun	vintso̱ -ts	mu- rye ena	mati	quiene	quenicatza	NA	bwa- nji	aliyakere	NA	gi gixpoko	jutsa̱p	yuh ka mawx	imano -pa -taj	imayna -taq	cum	mu- te	mo	na	cómo	mañɨ	NA	pa- ano	n'- ata	nädip	nasıl	qandaq -mu	làm sao	n- an	bix	怎	怎麼	jujche
217	peue -kriban	nthakinha -nta -ma	sapu- napi	o yô se	upa	nṓq	NA	nyi- burr- yinmiya	ída	tas -t	sitih	com	jak	tai- månu	cache' -da	gado	a'i -ni	sut	hvor -dan	wie	wie	ŋmɩŋ -mɩn	dànì	yani	née	how	how	qanuġ -lugich	qaillun -mi	nan	hono	kuinka	ne -soy	conas	piko mba'e -icha	NA	nats'ąą	hin	kako	mi	baka ni	aṅa	ima -sa -tak	apa yang	hvernig	どう -して	hyư̆m	qalay	yaa -j	nhani	어떻 -게	vɛɛ	anyána	baramma	antekamma -ko	tya -ra pi- n- kant -aig -ak -empa -ra	nej	kewangun	vintso̱ -s -e'e	mu- rye ena	mati	quiene	quenicatza	hoe	bwa- nji	aliyakere -ya	NA	gi	jutsa̱p	yuh ka mawx	imano -pa -ra -shi	imayna -taq	cum	mu- te	mo	na	cómo	NA	NA	NA	NA	nähili	nasıl	qandaq -mu	làm sao	n- u	bix	怎	怎	NA
218	di- pat	nthanha -nga -ma	d- ija	nin	m- aana	a- léq	i ja	arr- yinmiya	ja -lía -ba -san	'aj	i- suh	on	kde	a- månu nai	cada	harv	a'u -ni	ble	NA	wo	wo -her	nyɩn 	edı̨į̀	yago	téé	where	where	su -miñ	na -ken -mi	fan	ho- to	mi -stä 	nään -dan	cá	moõ -gui piko	wanja -mun	nijin	haqam	čo -ime (što)	hogy -n	di- ni	òle ebe	mai -pi -tak	di mana	hvar	ど -こ	pơ pă	qay -aq -tan	haa -na -as	hoki	어디 -서	kuɛɛ	háányɛ́	dh- imma	kemae -ki'	tya -ra	ma	hang awe	joma -s -e'e	wahe ena	mapa	cöne	canque	waar vandaan	ku- ti	aliyo -ako -ta -ite	mome	ginaka	ju̱t́	dee mawx	may -pita -taj	may -pi -taq	de unde	he he	gos	gada	dónde	mangu -e	ko- che	saan	kû	nire -den	nere -den	ne -din	ở đâu	f- u	tu'ux	哪 裡	哪 裡	jut
219	peue -jan	ilangara -ma	kali- napi	ônin	mar- ipi	bo léq	ndigan -ai	gu- yinpa	ída	janic'	ĕhē	quan	jak	ngai'an nai	ca q'uin	hilago iyu	a'anaj -ni	pryd	hvor -dan	wann	wann	debor	dàht'e	waaru inge le	ndɛn -ná	when	when	qaŋa	qang -vaq	bhaghé é- bhú	ma- nde	mi -lloin	ne -zaman	cé an uair	araka'e piko	wanja wanja	nijin dąį'	hisat	kada	mi -kor	kemaya	òle mb͕e	ima -ura tak	bagai- mana	hvennær	いつ	hơbin	qashan	hezee	milaki	언제	telen kuɛɛ	nyí- ényí	bila -epon	ringngapanna	tya -t -ak -e	mɨnaa	hantamian	vin'it -ts	liina	mâ ǁae -ts	quiema	quema -ya	wanneer	li- ti	xoana xowaka	maname	gi -klu	juch ɨs	yam mawx	imay öra -taj	hayka -pi -taq	când	ryari	goas	kera	cuándo	manose	chie -ni -ko	kailan	rî	haçan	ne zaman	qachan	khi nào	kañ	ba'ax kiin	什麼 時候	幾 時	jujchøc
220	peue	nthakinha -ma	pu- napi	nzu	upa	ntrớu	kai	gun- nga	ída	tas	a- suh	què	co (co)	håfa	cua '	gado	ti'i -taj -ni	beth	hvor -dan	was	was	bʋ̃ʋ n'ʋ	dànì	kijɛ inge	nɛ́n -ná	what	what	su -ruksrau -visa	qaillun -mi	nan	ko ɗum	mi -tä	ne	cad	mba'e -pa	wanjarr -mal	jidii	hihta (himu)	što (što)	mi -t	nama	gini	ima -sa -tak	apa -kah yang	hvað	何	hơgĕt	ne	yuu	chi- o- ni	무엇 -을	yɛɛ	aátɛ́	pon- apa	apa	tata -oita	ti	inun	ti -s	khu- rye ena	tare -e	tli	tlaque	hoe	chiyani	xoare	mara	klu	t́i	yuh ka mawx	ima -ta -taj	ima -ta -taq	ce	du- te	mii -a -t	ya	qué	mañɨ	cho -ni -ki -bo -li	ano	n'- ata	näme	ne	qandaq	gì	l- u	ba'ax	怎樣	甚麼	ti
221	peue	iwunha -nta -ma	napi	ônin	upa	ntrớu	NA	gun- guyinmiya	cá -ba -gi	tas	a- suh	quin	jak	håfa na	cua '	gado -no usdi	ti'i -taj -ni	NA	hvilk -et	was für	was für	buor	NA	inge	ȩn	what	what	su -mik	qaillun	bhaghé é- jûm	ho- n- de	mi -n -kä	ne	cé an	mba'e	wanyu	jidii	hihta (himu)	kakav	mi -csoda	nama	gini	ima -sa -tak	NA	hvað -a	ど -んな	hơgĕt	qan -day	yamar	NA	무엇 -입니까	ɔ́ɔ̀	yaátɛ́	pon- apa	apa	tata -tyo	ti	inun	ti	shiina	mâ	tli	NA	NA	chi- -a- nji	xoare -ya	mara -va'ea	klu	jup	pa tix	ima	ima	ce	ki	makkár	NA	qué	mbae	chu -'simi 	ano	NA	nähili	nasıl	qandaq	gì	b- an	ba'ax	什麼	甚麼	jujche -pø
222	peue	NA	napi	nzu	upa	nṓq	NA	nyi- yinmiya	cá -gi	tas	a- suh	quin -es	NA	håfa	cuaxca	gado usdi	a'i -ni	beth	NA	was für	was	buor	NA	yago	ȩn -á	what	what	su -mik	ca -mek	bhaghé é- jûm	ko ɗum	mi -tä	ne	cad	mba'e mba'e -pa	NA	dee -hini -yaa	hihta (himu)	kakav -o	mi -t	nama	gini	ima -ura -pas	NA	hvað	ど -んな	hơgĕt	ne	yamar	NA	무엇 -은	ɔ́ɔ̀	aátɛ́	pon- apa	apa	NA	ti	inun	ti	shiina	tare -e -ts	tli	NA	wat	NA	NA	gara	klu	jup	pa tix	NA	ima -ta -taq	ce	gi- te	mii -a -id	ya	qué	NA	NA	ano	NA	näme	nasıl	neme	gì	b- an	ba'ax	什麼	甚麼	ti
223	peue -kriban	nthakinha -nta -ma	kenken	o yô se	koi upa	nṓq	e- ng- kai	a- yinmiya	ída	NA	sitih	com	NA	håfa na	cua uc'a	gado -no	a'i -ni	sut	hvad for noget	wie	wie	ŋmɩŋ -mɩn	dànì -ghǫ	yani	née	how	how	su -vlu -ni -aasii	ciin -mi	nan	hono	kuinka	ne -çіn	cé an chaoi	mba'e -icha piko	wanyu -rri -nku	nats'ąą	hin -ta -qw	kako	hogy -an	baka ni	aṅa	ima -wan -tak	apa	hvernig	どう -して	hyư̆m	qalay	yaa -j	nhani	어떻 -게	le yɛɛ	anyána	baramma	antekamma	tya -ra i- kant -ak -a -ra	nej co	kewangun	vintso̱ -s -e'e	a- rye ena	mati -b	quiene	quenicatza	hoe	bwa- nji	xoana hoka	mara -name	gi	t́iiga	yuh ka mawx	ima -ni -r -taj	imayna -npi -má	cum	a- te	mo	na	cómo	mbae -rã	cho -ni -gá	pa- ano	n'- ata	nähili	nasıl	qandaq -ler -che	sao	l- u tax	bix	怎麼	怎麼	ti -cøtoya
224	peue -kriban	nthakinha -ma	kenken -ang -a	o yô se	koi upa	nṓq	uga	a- yinmiya	ída	tas	sitih	com	jak	tai- månu	cache' -da	gado	a'i -ni	sut	hvor -dan	wie	wie	ŋmɩŋ -mɩn	dànì	yani	née	how	how	qanuġ -luni	qaillun -mi	nan	hono	kuinka	ne -soy	conas	mba'e -icha piko	wanjarr	nats'ąą	hin	kako	hogy -an	baka ni	aṅa	ima -sa -tak	bagai- mana	hvernig	どう -して	hyư̆m	qalay	yaa -j	nhani	어떻 -게	vɛɛ	anyána	baramma	antekamma	tya -ra i- n- kant -ak -empa	nej	kewangun	vintso̱ -s	a- rye ena	mati -b	quiene	quenicatza	hoe	bwa- nji	aliyakere -ya	mara	gi r- gixpoko	jutsa̱p	yuh ka mawx	imano -pa -taj	imayna -taq	cum	a- te	mo	na	cómo	mañɨ	chu -ri -gá	pa- ano -ng	n'- ata	nähili	nasıl	qandaq	làm sao	naka	bix	怎麼	怎	jutznøm -ø
225	soe	NA	nyen	wan	ime	noau	ise	ngu- burr- yinmiya	cá -ba -san	mach	a- chīö	qui	NA	håyi	caxca une	gago	NA	pwy	NA	wer	wer	ãa	NA	inɛ aa	nóo	who	who	ki -ña	ki -a -kiq	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva piko	NA	juu	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -sik	si- apa yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	NA	s- apa	inai -mo -i	tya -rika i- kant -ak -a -ra	pɨn	hie	pa̱n	naanu	tari -e	öque -nu	NA	wie	ndani	xala -iya	NA	katu	i̱	pui mawx	ima -ta -shi	pi -taq	cine	NA	gii	ɓa	quién	NA	NA	s- ino	NA	kim	kim	kim	ai	k- an	máax	誰	誰	i -'is
226	peue -kriban	NA	kenken	se	koi upa	nṓq	uga	nyi- burr- yinmiya	cá -ba	tas	sitih	què	co (co)	håfa	cua '	NA	NA	sut	hvad	was	wie	NA	NA	yani	nɛ́n -ná	NA	NA	qanuq -aasii	qaillun -mi	NA	hono	mi -ten	ne	cad	mba'e piko	NA	nijin	hin	što (što)	NA	NA	NA	ima -sa -tak	bagai- mana	NA	どう	hơgĕt	NA	yaa -h	nhani	어떻 -게	vɛɛ	NA	baramma	antekamma	tya -rika -rorokari pi- n- kant -aig -an -ak -empa	nej	kewangun	vintso̱ -ts	NA	mati	tli	NA	wat	bwa- nji	NA	mara -i	gi gixpoko -ta -nu	t́i	yuh ka mawx	ima	ima -ni -wa -nki -chik -ya	NA	bi- te	mo	NA	qué	mañɨ	chu -lá -mala -ché	ga- ano	NA	näme	ne	neme	thế nào	l- an	ba'ax	怎樣 	怎樣	ti -y -acs
227	soe	ngunha -urna -ma	sapa sira	wan	ime	noau	ise	ana- nga	cá -ba -gi	mach	chīö	qui	ko -mu (kdo)	para månu	caxca	gago	a'a -taj -ni	b pwy	hvor	wer -em	wer -em	ãa	amìı	inɛ aa	nóo	where	who -m	ki -mun	ki -tu -mun	é- nê	ho- mo	ke -ne -n	kіm -a	cé	máva rendá -pe piko	wanya -nda	juu	haki -y	ko -me (tko)	ki -hez	s- apa	ònye 	pi -wa -tak	si- apa -kah	til hver -s	だれ	hlơi	kim -ge	hen	ku- ani	누구 -에게 -로	nɛ̀ɛ́	aányɛ́	pasera	inai -mo -i	tya -ni -tyo -ra	pɨn	hie	pa̱n -ts	naanu	tari -i	öque	NA	wie	yani	xala	ma'g̃a	katu -yegi -maka 	i̱	pui mawx	pi -man -taj	pi -man -taq	cine	nde	gii -ea -n	ɓa	quién	aba	chie -ri	kan- ino	ûû	kim -e	kim -e	kim -ni -ng	ai	k- an	máax	誰	誰	ti -'ajcuy
228	di- pat	nthanha -ma	d- ija	nin	aana	n- léq	i ja	yina an․ gaya	ja -geí funa -san	'aj	i- suh	on	NA	månu -gge	cada	harv	a'u -ni	ble	hvor	wo	wo	nyɩn 	NA	yago	tɛ́ -lá	where	where	su -mi -it -pa -imña	na -nt -a	fan	ho- to	mi -ssä 	nere -da	cá	moõ -pa	wanja -bu	ad- aajii	haqam -o	NA	hol	di- ni	òle ebe	mai -pi -sik	NA	hvar	ど -こ	pơ pă	qay -aq -ta	haa -na	ka- uw- a- hoki	어디	NA	we- ényí	dh- imma	kemae -i	tya -rika -tyo	ma	hang awe	joma -s	wahe ena	mapa -b	cöne	canque	NA	ku- ti	NA	ma -hã	ginaka -lu	ju̱t́	dee mawx	may -chö -raj	may -pi -taq -cha	unde	he he	gos	y- aa gada 	dónde	ma	ko- che	na- saan	a- rîkû	nire -de	nere -de	NA	đâu	ana	tu'ux	哪 裡	哪 裡	jut -acs
229	peue sabab	nthakinha -la	kenken	o yô se	koi upa	nṓq	i ja nari	ana- nga	ída	tas	sitih	com	jak	månu nai	cache' -da	gado	a'i -ni	ble	hvor -dan	wie -so	wie	ŋmɩŋ -mɩn	dànì t'à	yani	née	how	how	qanuq -łuni	qaillun	nan	hono	kuinka	nään -dan	cé an chaoi	mba'e -icha rupi piko	wanja -bu	dee gwił -tsii	hin	kako	hogy -n	baka ni	aṅa	ima -sa -manda -sik	bagai- mana	hvernig	どう -して	hyư̆m	qay -aq -tan	yaa -j	ya- nhani	어떻 -게	vɛɛ	anyána	baramma	antekamma	tya -rika -tyo i- kant -ak -a -ra	nej	kewangun	vintso̱ -s	a- rye ena	mati -b	quiene	quenicatza	waar vandaan	bwa- nji	aliyakere ala	mara	gi r- gixpoko	NA	yuh ka mawx	imano -pa -taj	imayna -taq	cum	he he	gos	na	cómo	mangu -e	chu -ri -gá	saan	kû	nire -den	nasıl	qandaq -mu	làm sao	n- u	bix	怎麼	怎	jutznøm -ø
230	peue -kon	iwunha -nga -nta -ma	napi awinan -nya	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	cá uágu	tas yuj	kūö yòh	per què	proč	sa' håfa na	cua ' uc'a	gado -no	a'i -ni	pam	hvor -for	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen	ko saabii	mi -ksi	ne -çіn	cad chuige	mba'e -re piko	NA	jaghaii	hin	NA	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hví	なぜ	hyư̆m	ne ushın	yaa -g -aa -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	tya -ra o- kant -ak -a -ra	ti	wuah inun	NA	khu- lwa- shiina	tare -xa	tli	NA	waarom	chifukwa chiyani	xoana hoka	mara -name	klu -neru	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -má	de ce	iki	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	mbi	näme üçin	neden	neme -ix -qa 	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
231	soe	ngunha -ma	sapa sira	wan	ime	noau	ise	ana- nga	cá	mach	a- chīö	qui	NA	håyi	caxca une	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	ki -a	ki -a	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva piko	wanju -ngku	juu	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -kuna -tak	si- apa yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	NA	aányɛ́	pasera	inai	tya -ni -tyo	pɨn	hie	pa̱n -am	naanu	tari -e	öque -nu	NA	wie	ndani	xala	ma'g̃a	katu	i̱	pui mawx	pi -taj	pi -taq	cine	nde	gii	ɓa	quién	aba	chie -ri	s- ino	n'- ûû	kim	kim	kim	ai	k- u	máax	誰	誰	i -'is
232	peue -kon	iwunha -nga -nta -ma	napi awinan	nzu ti	kadai	nṓq	ng- kai	an- nga nula	cá -ti uágu	tas yuj	NA	com	proč	sa' håfa na	NA	NA	a'i -ni een cɨn	pam	hvor -for	NA	was	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge -i	moo ȩn	why	why	su -m -man	ciin	jen	ko ɗum	mi -ksi	ne -çіn	NA	mba'e -re	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	NA	ima -pa -tak	meng- apa	hví	どう -して	hyư̆m	ne -ge	NA	NA	NA	le yɛɛ	anyána	ar- apa	angng- apa	tya -ra o- kant -ak -a -ra	ti	wuah inun	tya̱jx -ts	khu- lwa- shiina	NA	tli -ca	quenque	waarom	NA	xoana -re hoka	mara -name	NA	t́iiga	NA	ima -ni -r -taj	ima -na -sqa -má	de ce	iki	NA	tah ya	NA	mbae -rã	cho -ni -gá	bakit	kî	näme üçin	neden	neme uchun	tại sao	l- u tax	ba'ax ten	為 什麼	NA	ti -'ajcuy
233	ho	nthanha -urna -ma	k- ija	nin	m- aana	léq	ku ja	ay- yinda	ja -lía -ñoun -ba funa -san	'aj	yih	on	kam	månu	cada	harv	a'u -qui	i ble	hvor	wo -hin	wo -hin	nyɩn 	edı̨į̀	yago	téé	where	where	su -muaq -si -va -una 	na -t -mun	fan	ho- to	mi -n -ne	nere -yі	cá	moõ mba'e piko	wanja -bu	nijuk	haqam -mi -ni	kamo	hová	ka- ni	òle ebe	mai -ma -tak	ke mana	hver -t 	ど -こ	pơ pă	qay -aq -qa	yamar	hoki	어디 -로	kuɛɛ	háányɛ́	dha' emma	kemae -i	tya -rika -tyo	ma	ma- awe	joma -s	khu- utsya ena	mapa -b	cöne	canque	waar naartoe	ku- ti	aliyo -ako -iya -la	mome	ginaka	ju̱t́	dee mawx	may -man -raj	may -ta -ya	unde	he he	gos -a	gada	a dónde	mangu -iti	ko- chie -na	saan	kû	nire -ä	nere -ye	qe -yer -ler -ge	đi đâu	f- u	tu'ux	哪 裡	哪 裡	jut -acs
234	peue 	iwunha	apa	ônin	upa	ntrớu	kai	gun- nga	cá	tas	a- suh	què	NA	håfa	cua '	gado	a'i -qui	beth	hvad	was	was	bo	dàdıì-adı	inge -i	ȩn -á	what	what	su -mik	ca -u -ga	jen	ko ɗum	mi -tä	nere -da	cad	mba'e -iko	wanyu	deiinyąą t'inyąą	NA	što (što)	mi -csoda	nama	gini	ima -tak	apa -kah	hvað	どう -いう	hơgĕt	ne -ni	yamar	ya- a- ki	무엇 -은	ɔ́ɔ̀	aátɛ́	apa	apa	tata -rika -tyo	nej	inun	ti -s	shiina	mâ	tli	tlaque	wat	u- -a- ku- tani	NA	gara pe	NA	t́i	pa tix	ima -ni -r -taj	ima -ni -chka -n -taq	ce	NA	mii -a -id	ya	qué	mbae -rã	NA	ano	n'- ata	NA	ne	NA	gì	l- an	ba'ax	什麼	甚麼	ti -'ajcuy
235	peue -kon	iwunha -nga -la	kenken	o yô se	no- ngko'- upa	nṓq	e- ng- kai	NA	cá uágu	tas yuj	kūö yòh	per què	proč	håfa na	cua uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	wie	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	nan	ko saabii	mi -ksi	ne -çіn	cad chuige	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hver -s vegna	なぜ	hyư̆m	ne -ge	yuu -n -d	nhani	왜	le yɛɛ	anyána	ar- apa	angng- apa	tya -ra o- kant -ak -a -ra	nej	wuah inun	tya̱jx	khu- lwa- shiina	tare xū -i ǃaroma	tli -ca	para tlen	waarom	bwa- nji	xoana hoka	mara -nu -hũ -rame	klu china -nu	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -taq	de ce	ko	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -cøtoya
236	peue -kriban	nthakinha	sapu- napi	NA	koi upa	nṓq	uga	nyi- yinmiya	cá -gi	tas	sitih	què	co (co)	håfa	cache'	gado	a'i -ni	beth	hvad	was	was	bʋnʋ	dàneewǫ	inge	nɛ́n -ná	what	what	qanuġ -li	qaillun	jen	ko	mi -tä	ne	cad	mba'e	NA	dee -hiinj -yaa	hin -ta -ni	što (što)	mi -t	baka ni	gini	ima -tak	bagai- mana	hvað	どう	hyư̆m	ne	yuu	u- -ku- gamb- a- ki	어떻 -게	vɛɛ	anyána	kadi pon- apa	antekamma	tya -ra pi- n- kant -e	nej	kewangun	vintso̱ -ts	shiina	tare -e -ts	tli	quenicatza	wat	chiyani	xoare	mara -i	gi	jup	yuh ka mawx	ima -ni -nqui -taj	ima -ni -nki -taq	ce	iki	mii -a -id	ya	qué	mañɨ	cho -ni -gó	ano	ata	näme	ne	qandaq	sao	l- u	ba'ax	怎麼	怎樣	ti
237	ho	nthanha -ma	k- ija	nin	aana -mo	léq	i ja	yina a- burr- gaya	ja -gáña -san	'aj -t -c 'ay	i- suh	on	kam	man- hanåo- månu	cada	harv	a'u -ni	ble	hvor	wo	wo	wa	gı- laedì	yago	téé	where	where	nauŋ	na -u -wa	fan	ho- to	mi -ssä 	nere -da	cá	moõ piko	wanja -bu	nijin	haqam -mi -ya	gdje	hol	ni	òle ebe	mai -pi -tak	mana	hvað	ど -こ	pơ pă	qay -aq -ta	haa -na	wa- uw- a- hoki	어디	ɔ́ɔ̀	be- ényí	dha' emma	kemae	tya -ra	ma	hang awe	joma -s -e'e	ena	mapa	cöne	canque	waar	ku- ti	aliyo	ma -hã	ginaka -tka -na	ju̱t́	dee mawx	may -taj	may -taq	unde	he he	gos	ɓ- aa gada	dónde	ma	ko- che	na- saan	n'- ata	hany	nere -de	qe -ni	đâu	ana	tu'ux	哪 裡	哪 裡	jut
238	di- pat	nthanha -nta -ma	ring d- ija	nin	aana	n- léq	i ja	an- an․ gaya	ja -geí -gi	'aj -til 'ay	i- suh	on	kde	månu -gge	cada	harv	a'u -ni	ble	hvor	wo	wo	wa	edı̨į̀	yago	tɛ́ -lá	where	where	su -mi -it -pa	na -u -wa	fan	ho- to	mi -ssä 	nere -da	cá	moõ piko	wanja -bu	ad- aajii	haqam -o	gdje	hol	di- ni	òle ebe	mai -pi -tak	di mana -kah	hvar	ど -こ	pơ pă	qay -aq -ta	haa -na	NA	어디	kuɛɛ	we- ényí	ka'- imma	kemae	tya -ra	ma	hang awe	joma -s -e'e	wahe ena	mapa -b	cöne	canque	waar	ku- ti	aliyo	ma -hã	ginaka -lu	ju̱t́	dee mawx	may -chö -taj	may -pi -taq	unde	he he	gos	y- aa gada 	dónde	ma	ko- chie -na	na- saan	a- rîkû	nire -de	nere -de	qe -yer -de	ở đâu	k- u -y	tu'ux	哪 裡	哪 裡	jut
239	soe	ngunha -nta -ma	sapa sira -ke	nzu	ime	noau	ise	nyi- nga 	cá -ta -bu -ti	mach -ch	a- chīö	qui	kdo (kdo)	håyi	caxca -jet	gago -ni -hi	a'a -taa -ni	pwy	hvem	wer	wer	ãa	amìı	aa -i	nɔ́n -ná	who	who	ki -ña	ca -u -sit	é- nê	ho- mo	ke -ne kuka	kіm -sіn	cé	máva piko	NA	juu	haki -ø	tko (tko)	ki	s- apa	ònye	pi -tak	si- apa -kah	hver	どう -いう	hlơi	kim -sen	hen	nani	누구 -요	nɛ̀ɛ́	aányɛ́	pasera	inai -ko	tya -ni -mpa -tyo -ra	pɨn	hie	pa̱n -ts	naanu	tari -ts -a	öque -nu	ajqueya	wie	yani	xala	mome	gi	mi- i̱ -apaap	mawx	pi -taj	pi -taq	cine	nde	gii	ɓa	quién	aba	chie -ri	s- ino	ûû	kim -siň	kim -sin	kim	ai	k- an	máax -ech	誰	誰	ⁿ- i -y -e 
240	peue	iwunha -nga -nta -ma	napi	o yô se	koi upa	nṓq	uga	gun- nga	cá	tas yuj	sitih	com	proč	håfa	cua ' uc'a	gado -no	a'i -ni	beth	hvad	wie -so	wie	ŋmɩŋ -mɩn	dànì -ghǫ	inge dɛ -i	moo ȩn	how	what	qanuq -łutin	qaillun	nan	hono	kuinka	ne -soy	conas	mba'e	wanyu -rri -nku	deiinyąą t'iinyąą	hin -ta -qw	kako	hogy -an	nama	aṅa	ima -pa -tak	apa -kah	hvernig	どう -して	hyư̆m	ne -ge	yuu -n -d	nhani	어찌 -하여사	le yɛɛ	anyána	pon- apa	apa	tya -ra o- kant -ak -a -ra	nej co	inun	vintso̱ -s -e'e	u- rye ena	mati -ts	quiene	quenque	hoe	bwa- nji	xoana -re hoka	mara -name	gi	t́iiga	yuh ka mawx	ima -ni -r -taj	imayna -npi -taq	cum	u- te	mo	na	cómo	mbae -rã	cho -ni -gá	pa- ano	n'- ata	nädip	nasıl	neme	thế nào	n- an	bix	為 什麼	怎麼	ti -'ajcuy
