ace-bible.txt	are-bible.txt	ban-bible.txt	bci-bible.txt	blz-bible.txt	bru-bible.txt	btx-bible.txt	bvr-bible.txt	cab-bible.txt	cac-sansebastian.txt	caq-bible.txt	cat-evangelica.txt	ces-living.txt	cha-2003.txt	chf-bible.txt	chr-bible.txt	crn-bible.txt	cym-colloquial2013.txt	dan-hverdagsdansk.txt	deu-newworld.txt	deu-schlachter.txt	dgi-bible.txt	dgr-bible.txt	dts-bible.txt	dur-bible.txt	eng-common.txt	eng-goodnews.txt	esi-bible.txt	esu-bible.txt	etu-bible.txt	ffm-bible.txt	fin-1992.txt	gag-latin.txt	gle-bible.txt	gug-bible.txt	gvn-bible.txt	gwi-bible.txt	hop-bible.txt	hrv-2000.txt	hun-2003.txt	iba-bible.txt	ibo-bible.txt	inb-bible.txt	ind-firman.txt	isl-bible.txt	jpn-colloquial.txt	jra-bible.txt	kaa-latin.txt	khk-bible.txt	kki-bible.txt	kor-1985.txt	kqs-bible.txt	lem-bible.txt	mad-bible.txt	mak-bible.txt	mcb-bible.txt	mco-bible.txt	mhy-bible.txt	mto-bible.txt	myx-bible.txt	naq-bible.txt	nhg-bible.txt	nhw-bible.txt	nld-2007.txt	nya-bible.txt	pab-bible.txt	pah-bible.txt	pib-bible.txt	poi-bible.txt	prk-bible.txt	qub-bible.txt	quy-bible.txt	ron-2006.txt	run-bible.txt	sme-bible.txt	snf-bible.txt	spa-newworld.txt	srq-bible.txt	tac-bible.txt	tgl-1996.txt	thk-bible.txt	tuk-mukaddes.txt	tur-newworld.txt	uig-latin.txt	vie-bandich.txt	wol-bible.txt	yua-bible.txt	zho-contemp.txt	zho-new.txt	zos-bible.txt
43003012	pakriban	NA	napi	oh yôh se	koi upa	nṓq	apai	NA	ída	NA	sitih	com	jak	håfa taimanu	cache'da	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	née	how	how	qanuġlutin	qaillun-mi	nan	hono	kuinka	nesoy	cén chaoi	mba'éicha piko	NA	NA	hin	kako	mi	baka ni	aṅa	imasatak	apa yang	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛ̀ɛ̀	anyána	baramma	antekammako	NA	NA	kewangun	vintso̱ts	muryeena	mati	quiene	quenicatza	hoe	bwanji	aliyakereya	NA	gi gixpokotyawaka	jutsa̱p	yuh ka mawx	imanöparäshi	imaynataq	cum	mute	mo	na	cómo	NA	NA	paano	n'ata	nähili	nasıl	qandaqmu	làm sao	naka	bix	怎麼	怎	jujche
43004009	pakon	nthakinhantama	napi awinan	o yô se	nongko'upa	nṓq	ngkai	NA	ída	tas yuj	sitih	com	jak	håfa	cache'da	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì t'à	yani	née	why	how	qanuġimña	qaillun	nan	hono	kuinka	nesoy	conas	mba'éicha rupi piko	NA	jaghaii	hintaqw	kako	hogyan	baka ni	aṅa	imasamandatak	NA	hverju	どうして	hyư̆m	qalay	yaagaad	yanhani	어떻게	NA	NA	aponapa	angngapa	tyara okantakara	na'amy	wuah inun	vintso̱ts	shiryeena	matits	quiene	para tlen	welke	bwanji	xoana hoka	garamo	gi	t́iiga	NA	imanirtaj	imanasqataq	cum	ute	mo	na	cómo	mbaerã	chonigá	bakit	n'ata	nädip	nasıl	qandaqlarche	làm sao	nan	bix	怎麼	怎麼	ticøtoya
43004011	dipat	nthanhangantama	saking dija	nin	mbaria	léq	i ja	yina gun-gaya	ída	ajm til	yih	d'on	jak	månu nai	cada	harvno	a'uni	ble	hvordan	woher	woher	nyɩnɛ	edı̨į̀	yago	tɛ́lá	where	where	sumiñ	naken-mi	fan	hoto	mistä	neylän	cad	mba'éicha	wanjamun	nijin	háqamnihqe	odakle	honnan	dini	òle ebe	imawatak	dari mana	hvaðan	どこ	pơpă	qayaqtan	haanaas	ukupatahi	어디서	kuɛɛ	anyána	ka'imma	kemaeki'	tyara	ma	teka awe	jómase'e	wahe	mapa	de cöne	canque	waar vandaan	kuti	aliyakereya	ma	ginaka	jutsa̱p	dee mawx	maypitataj	maymantataq	de unde	hehe	gos	gaɗa	de dónde	ma	koche	saan	kû	nireden	nereden	nedin	đâu	fooy	tu'ux	哪裡	哪裡	jut
43004027a	peue	iwunhama	NA	nzu	upa	ntrớu	kai	gun-nga	ca	tas	asuh	què	NA	håfa	cua'	gado	a'ini	beth	hvorfor	was	was	bʋ̃ʋ n'ʋ	ayìı	ingei	ȩná	what	what	nalliat-unnii	camek	NA	ko	mitä	ne	cad	mba'épa	wanyu	jidii	hihta	čemu	mit	nama	gini	imatak	apa sebabnya	hvað	何	hơgĕt	ne	yuu	choni	무엇을	NA	aátɛ́	aponapa'a	apa	tyara pikantiro	ti	inun	ti	shiina	tare-ets	tli	tlaque	NA	chiyani	xoare	maraname	klu	t́i	patix	imata	imatataq	ce	iki	maid	ya	qué	mbae	chonigá	ano	NA	näme	ne	neme	gì	looy	ba'ax	什麼	甚麼	ti
43004027b	pakon	iwunhanga	napi awinan	nzu	nongko'upa	nṓq	engkai	an-nga nula	ca lan uágu	tas yuj	kūöyòh	per què	proč	sa' håfa na	cua' uc'a	gadono	a'ini	pam	hvad	warum	was	bʋ̃ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	NA	ko	miksi	neçіn	cén fáth	mba'épa	wanyurrinku	jaghaii	hinoqw	zašto	mit	nama kebuah	gini	imatak	apa yang	hvað	何	hyư̆m	nege	yuund	nhani	왜	NA	anyíatɛ́	aponapa	angngapa	tyara okantakara	ti	wuah inun	tya̱jxe'e	lwashiina	tare-ets	tlica	quenque	NA	chiyani	xoare	gara	klu	t́iiga	yuh ka mawx	imapaj	imanasqataq	de ce	iki	manne	ya	por qué	NA	NA	bakit	NA	näme üçin	neden	nemixqa	tại sao	lu tax	ba'ax	為什麼	為甚麼	ti'ajcuy
43005012	soe	ngunhantama	nyenke	wan	ime	noau	ise	ana-nga	cáteigi	mach	achīö	qui	kdo	håyi	caxcone	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	aai	nóo	who	who	kisuimma	kia	énê	homo	kuka	kіmdіr	cé	máva	wanjungku	juu	hak	tko	ki	sapa	ònye	maikan	siapa yang	hver	だれ	hlơi	kim	hen	nani	누구요	ɔ́ɔ̀	háányɛ́	sapa	inai	tyanityora	pɨn	hie	pa̱nts	naanu	tariba	öquenu	ajqueya	wie	ndani	xala	ma'g̃a	giru	i̱	pui mawx	pitaj	NA	cine	nde	gii	ɓa	quién	aba	chieri	sino	n'ûû	kim	kim	kim	ai	ku	máax	誰	誰	i'is
43005044	pakriban	NA	sapunapi	oh yôh se	koi upa	nṓq	NA	nyiburr-yinmiya	ída	NA	sitih	com	jak	taimanu	cache'	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	née	how	how	qanuġlusi	qaillun-mi	nan	hono	kuinka	nesoy	conas	mba'éicha piko	NA	nats'ąą	hin	kako	mi	baka ni	aṅa	imasatak	NA	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛ̀ɛ̀	anyána	baramma	antekammako	tyara pinkantaigakempara	nej	kewangun	vintso̱ts	muryeena	mati	quiene	quenicatza	NA	bwanji	aliyakere	NA	gi gixpoko	jutsa̱p	yuh ka mawx	imanöpataj	imaynataq	cum	mute	mo	na	cómo	mañɨ	NA	paano	n'ata	nädip	nasıl	qandaqmu	làm sao	nan	bix	怎	怎麼	jujche
43005047	pakriban	nthakinhantama	sapunapi	oh yôh se	upa	nṓq	NA	nyiburr-yinmiya	ída	tast	sitih	com	jak	taimanu	cache'da	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	née	how	how	qanuġlugich	qaillun-mi	nan	hono	kuinka	nesoy	conas	piko mba'éicha	NA	nats'ąą	hin	kako	mi	baka ni	aṅa	imasatak	apa yang	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛ̀ɛ̀	anyána	baramma	antekammako	tyara pinkantaigakempara	nej	kewangun	vintso̱se'e	muryeena	mati	quiene	quenicatza	hoe	bwanji	aliyakereya	NA	gi	jutsa̱p	yuh ka mawx	imanöparäshi	imaynataq	cum	mute	mo	na	cómo	NA	NA	NA	NA	nähili	nasıl	qandaqmu	làm sao	nu	bix	怎	怎	NA
43006005	dipat	nthanhangama	dija	nin	mbaria	aléq	i ja	arr-yinmiya	jalíabasan	'aj	isuh	on	kde	amånu nai	cada	harv	a'uni	ble	NA	wo	woher	nyɩnɛ	edı̨į̀	yago	téé	where	where	sumiñ	naken-mi	fan	hoto	mistä	näändan	cá	moõgui piko	wanjamun	nijin	haqam	čime	honnan	dini	òle ebe	maipitak	di mana	hvar	どこ	pơpă	qayaqtan	haanaas	hoki	어디서	kuɛɛ	háányɛ́	dhimma	kemaeki'	tyara	ma	hang awe	jómase'e	waheena	mapa	cöne	canque	waar vandaan	kuti	aliyakotaite	mome	ginaka	ju̱t́	dee mawx	maypitataj	maypitaq	de unde	hehe	gos	gada	dónde	mangue	koche	saan	kû	nireden	nereden	nedin	ở đâu	fu	tu'ux	哪裡	哪裡	jut
43006025	pajan	ilangarama	kalinapi	ônin	mbaripi	bo léq	ndiganai	gu-yinpa	ída	janic'	ĕhē	quan	jak	ngai'an nai	caq'uin	hilago iyu	a'anajni	pryd	hvordan	wann	wann	debor	dàht'e	waaru inge le	ndɛnná	when	when	qaŋa	qangvaq	bhaghé ebhú	mande	milloin	nezaman	cén uair	araka'e piko	wanja-wanja	nijin dąį'	hisat	kad	mikor	kemaya	òle mb͕e	imauratak	bagaimana	nær	いつ	hơbin	qashan	hezee	milaki	언제	telen kuɛɛ	nyíényí	bilaepon	ringngapanna	tyatake	mɨna	hantamian	vin'itts	liina	mâ ǁaets	quiema	quemaya	wanneer	liti	xoana xowaka	maname	giklu	juchɨs	yam mawx	imay örataj	haykapitaq	când	ryari	goas	kera	cuándo	manose	chiéniko	kailan	rî	haçan	ne zaman	qachan	khi nào	kañ	ba'ax kiin	什麼時候	幾時	jujchøc
43006028	peue	nthakinhama	punapi	nzu	upa	ntrớu	kai	gun-nga	ída	tas	asuh	què	co	håfa	cua'	gado	ti'itajni	beth	hvordan	was	was	bʋ̃ʋ n'ʋ	dànì	kijɛ inge	nɛ́nná	what	what	suruksrauvisa	qaillun-mi	nan	koɗum	mitä	ne	cad	mba'épa	wanjarrmal	jidii	hihta	što	mit	nama	gini	imasatak	apakah yang	hvað	何	hơgĕt	ne	yuu	choni	무엇을	yɛɛ	aátɛ́	ponapa	apa	tatoita	ti	inun	tis	khuryeena	tare-e	tli	tlaque	hoe	chiyani	xoare	marã	klu	t́i	yuh ka mawx	imatataj	imatataq	ce	dute	mat	ya	qué	mañɨ	chonikiboli	ano	n'ata	näme	ne	qandaq	gì	lu	ba'ax	怎樣	甚麼	ti
43006030a	peue	iwunhantama	napi	ônin	upa	ntrớu	NA	gun-guyinmiya	cábagi	tas	asuh	quin	jak	håfa na	cua'	gadono usdi	ti'itajni	NA	hvilket	was für	was für	buor	NA	inge	ȩn	what	what	sumik	qaillun	bhaghé ejûm	honde	minkä	ne	cén	mba'e	wanyu	jidii	hihta	kakav	micsoda	nama	gini	imasatak	NA	hvaða	どんな	hơgĕt	qanday	yamar	NA	무엇입니까	ɔ́ɔ̀	yaátɛ́	ponapa	apa	tatatyo	ti	inun	ti	shiina	mâ	tli	NA	NA	chanji	xoareya	marãva'ea	klu	jup	patix	ima	ima	ce	ki	makkár	NA	qué	mbae	chu'simi	ano	NA	nähili	nasıl	qandaq	gì	ban	ba'ax	什麼	甚麼	jujchepø
43006030b	peue	NA	napi	nzu	upa	nṓq	NA	ny-yinmiya	cági	tas	asuh	quines	NA	håfa	cuaxca	gado usdi	a'ini	beth	NA	was für	was	buor	NA	yago	ȩná	what	what	sumik	camek	bhaghé ejûm	koɗum	mitä	ne	cad	mba'e-mba'épa	NA	deehini'yaa	hihta	kakvo	mit	nama	gini	imaurapas	NA	hvað	どんな	hơgĕt	ne	yamar	NA	무슨	ɔ́ɔ̀	aátɛ́	ponapa	apa	NA	ti	inun	ti	shiina	tare-ets	tli	NA	wat	NA	NA	gara	klu	jup	patix	NA	imatataq	ce	gite	maid	ya	qué	NA	NA	ano	NA	näme	nasıl	neme	gì	ban	ba'ax	什麼	甚麼	ti
43006042	pakriban	nthakinhantama	kenken	o yô se	koi upa	nṓq	engkai	a-yinmiya	ída	NA	sitih	com	NA	håfa na	can uc'a	gadono	a'ini	sut	hvad for noget	wie	wie	ŋmɩŋmɩn	dànìghǫ	yani	née	how	how	suvluniasii	ciin-mi	nan	hono	kuinka	neçіn	cén chaoi	mba'éicha piko	wanyurrinku	nats'ąą	hintaqw	kako	hogyan	baka ni	aṅa	imawantak	apa	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	le yɛɛ	anyána	baramma	antekamma	tyara ikantakara	nej co	kewangun	vintso̱se'e	aryeena	matib	quiene	quenicatza	hoe	bwanji	xoana hoka	maraname	gi	t́iiga	yuh ka mawx	imanirtaj	imaynanpimá	cum	ate	mo	na	cómo	mbaerã	chonigá	paano	n'ata	nähili	nasıl	qandaqlarche	sao	lu tax	bix	怎麼	怎麼	ticøtoya
43006052	pakriban	nthakinhama	kenkenanga	o yô se	koi upa	nṓq	kuga	a-yinmiya	ída	tas	sitīh	com	jak	taimanu	cache'da	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	née	how	how	qanuġluni	qaillun-mi	nan	hono	kuinka	nesoy	conas	mba'éicha piko	wanjarr	nats'ąą	hin	kako	hogyan	baka ni	aṅa	imasatak	bagaimana	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛɛ	anyána	baramma	antekamma	tyara inkantakempa	nej	kewangun	vintso̱s	aryeena	matib	quiene	quenicatza	hoe	bwanji	aliyakereya	marã	gi rixpoko	jutsa̱p	yuh ka mawx	imanöpataj	imaynataq	cum	ate	mo	na	cómo	mañɨ	churigá	paanong	n'ata	nähili	nasıl	qandaq	làm sao	naka	bix	怎麼	怎	jutznømø
43006060	soe	NA	nyen	wan	ime	noau	ise	nguburr-yinmiya	cábasan	mach	achīö	qui	NA	håyi	caxca une	gago	NA	pwy	NA	wer	wer	ãa	NA	inɛ aa	nóo	who	who	kiña	kia-kiq	énê	homo	kuka	kіm	cé	máva piko	NA	juu	hak	tko	ki	sapa	ònye	pisik	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	NA	sapa	inaimi	tyarika ikantakara	pɨn	hie	pa̱n	naanu	tari-e	öquenu	NA	wie	ndani	xalaiya	NA	katu	i̱	pui mawx	imatashi	pitaq	cine	NA	gii	ɓa	quién	NA	NA	sino	NA	kim	kim	kim	ai	kan	máax	誰	誰	i'is
43006062	pakriban	NA	kenken	se	koi upa	nṓq	kuga	nyiburr-yinmiya	cába	tas	sitīh	què	co	håfa	cua'	NA	NA	sut	hvad	was	wie	NA	NA	yani	nɛ́nná	NA	NA	qanuq-aasii	qaillun-mi	NA	hono	miten	ne	cad	mba'e piko	NA	nijin	hin	što	NA	NA	NA	imasatak	bagaimana	NA	どう	hơgĕt	NA	yaah	nhani	어떻게	vɛ̀ɛ̀	NA	baramma	antekamma	tyarikarorokari pinkantaiganakempa	nej	kewangun	vintso̱ts	NA	mati	tli	NA	wat	bwanji	NA	marãi	gi gixpokotanu	t́i	yuh ka mawx	ima	imaniwankichikya	NA	bite	mo	NA	qué	mañɨ	chulámalaché	gaano	NA	näme	ne	neme	thể nào	lan	ba'ax	怎麼樣	怎樣	tiyacs
43006068	soe	ngunhurnama	sapasira	wan	ime	noau	ise	ana-nga	cábagi	mach	chīö	qui	komu	para månu	caxca	gago	a'atajni	bwy	hvor	wem	wem	ãa	amìı	inɛ aa	nóo	where	whom	kimun	kitumun	énê	homo	kenen	kіmä	cé	máva rendápe piko	wanyanda	juu	hakiy	kome	kihez	sapa	ònye	piwatak	siapakah	til hvers	だれ	hlơi	kimge	hen	kwani	누구에게로	nɛ̀ɛ̀	aányɛ́	pasera	inaimi	tyanityora	pɨn	hie	pa̱nts	naanu	tari-i	öque	NA	wie	yani	xala	ma'g̃a	katyegmaka	i̱	pui mawx	pimantaj	pimantaq	cine	nde	gean	ɓa	quién	aba	chieri	kanino	ûû	kime	kime	kimning	ai	kan	máax	誰	誰	ti'ajcuy
43007011	dipat	nthanhama	dija	nin	aana	nléq	i ja	yina an-gaya	jageí funásan	'aj	isuh	on	NA	mångge	cada	harv	a'uni	ble	hvor	wo	wo	nyɩnɛ	NA	yago	tɛ́lá	where	where	sumiitpaimña	nanta	fan	hoto	missä	neredä	cá	moõpa	wanjabu	adaajii	háqamo	NA	hol	dini	òle ebe	maipisik	NA	hvar	どこ	pơpă	qayaqta	haana	kowahi	어디	NA	weényí	dhimma	kemaei	tyarikatyo	ma	hang awe	jomas	waheena	mapab	cöne	canque	NA	kuti	NA	mahã	ginaklu	ju̱t́	dee mawx	maychöraj	maypitaqcha	unde	hehe	gos	ya da	dónde	ma	koche	nasaan	arî kû	nirede	nerede	NA	đâu	ana	tu'ux	哪裡	哪裡	jutacs
43007015	peue sabab	nthakinhala	kenken	o yô se	koi upa	nṓq	i ja nari	ana-nga	ída	tas	sitih	com	jak	månu nai	cache'da	gado	a'ini	ble	hvordan	wieso	wie	ŋmɩŋmɩn	dànì t'à	yani	née	how	how	qanuqłuni	qaillun	nan	hono	kuinka	näändan	cén chaoi	mba'éicha rupi piko	wanjabu	deegwiłtsii	hin	kako	honnan	baka ni	aṅa	imasamandasik	bagaimana	hvernig	どうして	hyư̆m	qayaqtan	yaaj	yanhani	어떻게	vɛ̀ɛ̀	anyána	baramma	antekamma	tyarikatyo ikantakara	nej	kewangun	vintso̱s	aryeena	matib	quiene	quenicatza	waar vandaan	bwanji	aliyakerala	marã	gi rixpoko	NA	yuh ka mawx	imanöpataj	imaynataq	cum	hehe	gos	na	cómo	mangue	churigá	saan	kû	nireden	nasıl	qandaqmu	làm sao	nu	bix	怎麼	怎	jutznømø
43007019	pakon	iwunhangantama	napi awinannya	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ca uágu	tas yuj	kūöyòh	per què	proč	sa' håfa na	cua' uc'a	gadono	a'ini	pam	hvorfor	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen	ko saabii	miksi	neçіn	cad chuige	mba'ére piko	NA	jaghaii	hin	NA	miért	nama kebuah	gini	imapatak	mengapa	hví	なぜ	hyư̆m	ne ushın	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara okantakara	ti	wuah inun	NA	khulwashiina	tarexa	tli	NA	waarom	chifukwa chiyani	xoana hoka	maraname	kluneru	t́iiga	yuh ka mawx	imanirtaj	imanasqamá	de ce	iki	manne	tah ya	por qué	mbaerã	chonigá	bakit	mbi	näme üçin	neden	nemixqa	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
43007020	soe	ngunhama	sapasira	wan	ime	noau	ise	ana-nga	ca	mach	achīö	qui	NA	håyi	caxcone	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	kia	kia	énê	homo	kuka	kіm	cé	máva piko	wanjungku	juu	hak	tko	ki	sapa	ònye	pikunatak	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	NA	aányɛ́	pasera	inai	tyanityo	pɨn	hie	pá̱nam	naanu	tari-e	öquenu	NA	wie	ndani	xala	ma'g̃a	katu	i̱	pui mawx	pitaj	pitaq	cine	nde	gii	ɓa	quién	aba	chieri	sino	n'ûû	kim	kim	kim	ai	ku	máax	誰	誰	i'is
43007023	pakon	iwunhangantama	napi awinan	nzu ti	kadai	nṓq	ngkai	an-nga nula	cáti uágu	tas yuj	NA	com	proč	sa' håfa na	NA	NA	a'ini een cɨn	pam	hvorfor	NA	was	bʋ̃ʋ n'ʋ so	dànìghǫ	ingei	moo ȩn	why	why	summan	ciin	jen	koɗum	miksi	neçіn	NA	mba'ére	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	NA	imapatak	mengapa	hví	どうして	hyư̆m	nege	NA	NA	NA	le yɛɛ	anyána	arapa	angngapa	tyara okantakara	ti	wuah inun	tya̱jxts	khulwashiina	NA	tlica	quenque	waarom	NA	xoanere hoka	maraname	NA	t́iiga	NA	imanirtaj	imanasqamá	de ce	iki	NA	tah ya	NA	mbaerã	chonigá	bakit	kî	näme üçin	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	NA	ti'ajcuy
43007035	ho	nthanhurnama	kija	nin	mbaria	léq	ku ja	ay-yinda	jalíñounba funásan	'aj	yih	on	kam	månu	cada	harv	a'uqui	i ble	hvor	wohin	wohin	nyɩnɛ	edı̨į̀	yago	téé	where	where	sumuaqsivauna	natmun	fan	hoto	minne	nereyі	cá	moõ mba'e piko	wanjabu	nijuk	haqamini	kamo	hová	kini	òle ebe	maimatak	ke mana	hvert	どこ	pơpă	qayaqqa	yamar	hoki	어디로	kuɛɛ	háányɛ́	dha' emma	kemaei	tyarikatyo	ma	maawe	jomas	khuutsya ena	mapab	cöne	canque	waar naartoe	kuti	aliyakoiyala	mome	ginaka	ju̱t́	dee mawx	maymanraj	maytaya	unde	hehe	gosa	gada	adónde	manguiti	kochiena	saan	kû	nirä	nereye	qeyerlerge	đi đâu	fu	tu'ux	哪裡	哪裡	jutacs
43007036	peu	iwunha	apa	ônin	upa	ntrớu	kai	gun-nga	ca	tas	asuh	què	NA	håfa	cua'	gado	a'iqui	beth	hvad	was	was	bo	dàdıì-adı	ingei	ȩná	what	what	sumik	cauga	jen	koɗum	mitä	neredä	cad	mba'éiko	wanyu	deiinyąą t'inyąą	hiṅqawhqe	što	micsoda	nama	gini	imatak	apakah	hvað	どういう	hơgĕt	neni	yamar	yaki	무슨	ɔ́ɔ̀	aátɛ́	apa	apa	tatarikatyo	nej	inun	tis	shiina	mâ	tli	tlaque	wat	wotani	xoana ala hoka	gara pe	klupiranni	t́i	patix	imanirtaj	imanichkantaq	ce	iriki	maid	ya	qué	mbaerã	chonióríbeché	ano	n'ata	nämekä	ne	nemisidu	gì	lan	ba'ax	什麼	甚麼	ti'ajcuy
43007045	pakon	iwunhangala	kenken	o yô se	nongko'upa	nṓq	engkai	NA	ca uágu	tas yuj	kūöyòh	per què	proč	håfa na	can uc'a	gadono	a'ini een cɨn	pam	hvorfor	wie	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	nan	ko saabii	miksi	neçіn	cad chuige	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hvers vegna	なぜ	hyư̆m	nege	yuund	nhani	왜	le yɛɛ	anyána	arapa	angngapa	tyara okantakara	nej	wuah inun	tya̱jx	khulwashiina	tare xū-i ǃaroma	tlica	para tlen	waarom	bwanji	xoana hoka	maranuhũrame	klu chinanu	t́iiga	patix	imanirtaj	imanasqataq	de ce	ko	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	ticøtoya
43008005	pakriban	nthakinha	sapunapi	NA	koi upa	nṓq	kuga	ny-yinmiya	cági	tas	sitih	què	co	håfa	cache'	gado	a'ini	beth	hvad	was	was	bʋnʋ	dàneewǫ	inge	nɛ́nná	what	what	qanuġli	qaillun	jen	ko	mitä	ne	cad	mba'e	NA	deehiinjyaa	hintani	što	mit	baka ni	gini	imatak	bagaimana	hvað	どう	hyư̆m	ne	yuu	ukugambaki	어떻게	vɛ̀ɛ́	anyána	kadi ponapa	antekamma	tyara pinkante	nej	kewangun	vintso̱ts	shiina	tare-ets	tli	quenicatza	wat	chiyani	xoare	marãi	gi	jup	yuh ka mawx	imaninquitaj	imaninkitaq	ce	iki	maid	ya	qué	mañɨ	chonígó	ano	ata	näme	ne	qandaq	sao	lu	ba'ax	怎麼	怎樣	ti
43008010	ho	nthanhama	kija	nin	aanamo	léq	i ja	yina aburr-gaya	jagáñasán	'ajtc 'ay	isuh	on	kam	manhanåomanu	cada	harv	a'uni	ble	hvor	wo	wo	wa	gılaedì	yago	téé	where	where	nauŋ	nauwa	fan	hoto	missä	neredä	cá	moõ piko	wanjabu	nijin	haqamiya	gdje	hol	ni	òle ebe	maipitak	mana	hvað	どこ	pơpă	qayaqta	haana	wahoki	어디	ɔ́ɔ̀	beényí	dha' emma	kemae	tyara	ma	hang awe	jómase'e	ena	mapa	cöne	canque	waar	kuti	aliyo	mahã	ginakatkana	ju̱t́	dee mawx	maytaj	maytaq	unde	hehe	gos	ɓada	dónde	ma	koche	nasaan	n'ata	hany	nerede	qeni	đâu	ana	tu'ux	哪裡	哪裡	jut
43008019	dipat	nthanhantama	ring dija	nin	aana	nléq	i ja	an-an․gaya	jageígi	'ajtil 'ay	i suh	on	kde	mångge	cada	harv	a'uni	ble	hvor	wo	wo	wa	edı̨į̀	yago	tɛ́lá	where	where	sumiitpa	nauwa	fan	hoto	missä	neredä	cá	moõ piko	wanjabu	adaajii	háqamo	gdje	hol	dini	òle ebe	maipitak	di manakah	hvar	どこ	pơpă	qayaqta	haana	NA	어디	kuɛɛ	weényí	ka'imma	kemae	tyara	ma	hang awe	jómase'e	waheena	mapab	cöne	canque	waar	kuti	aliyo	mahã	ginaklu	ju̱t́	dee mawx	maychötaj	maypitaq	unde	hehe	gos	ya da	dónde	ma	kochiena	nasaan	arî kû	nirede	nerede	qeyerde	ở đâu	kuy	tu'ux	哪裡	哪裡	jut
43008025a	soe	ngunhantama	sapasirake	nzu	ime	noau	ise	ny-yingiya	cátabuti	machch	achīö	qui	kdo	håyi	caxcajet	gagonihi	a'ataani	pwy	hvem	wer	wer	ãa	amìı	aai	nɔ́nná	who	who	kiña	causit	énê	homo	kuka	kіmsіn	cé	máva piko	wanju	juu	hak	tko	ki	sapa	onye	pitak	siapakah	hver	どういう	hlơi	kimsen'	hen	nani	누구요	nɛ̀ɛ́	aányɛ́	pasera	inaiko	tyanimpatyora	pɨn	hie	pa̱nts	naanu	taritsa	öquenu	ajqueya	wie	yani	xala	mome	gi	mii̱apaap	mawx	pitaj	pitaq	cine	nde	gii	ɓa	quién	aba	chieri	sino	ûû	kimsiň	kimsin	kim	ai	kan	máaxech	誰	誰	ⁿiye
43008033	peue	iwunhangantama	napi	o yô se	koi upa	nṓq	kuga	gun-nga	ca	tas yuj	sitih	com	proč	håfa	cua' uc'a	gadono	a'ini	beth	hvad	wieso	wie	ŋmɩŋmɩn	dànìghǫ	inge dɛi	moo ȩn	how	what	qanuqłutin	qaillun	nan	hono	kuinka	nesoy	conas	mba'e	wanyurrinku	deiinyąą t'iinyąą	hintaqw	kako	hogyan	nama	aṅa	imapatak	apakah	hvernig	どうして	hyư̆m	nege	yuund	nhani	어째서	le yɛɛ	anyána	ponapa	apa	tyara okantakara	nej co	inun	vintso̱se'e	uryeena	matits	quiene	quenque	hoe	bwanji	xoanere hoka	maraname	gi	t́iiga	yuh ka mawx	imanirtaj	imaynanpitaq	cum	ute	mo	na	cómo	mbaerã	chonigá	paano	n'ata	nädip	nasıl	neme	thế nào	nan	bix	為什麼	怎麼	ti'ajcuy
